iter	RMSE
0	8.728197315
1	8.251551712
2	7.769877986
3	7.37049254
4	7.01668514
5	6.697169389
6	6.419492286
7	6.130399556
8	5.857082739
9	5.591376462
10	5.323532389
11	5.134178258
12	4.919081132
13	4.712666354
14	4.545563217
15	4.369113414
16	4.215107081
17	4.091683095
18	3.987469938
19	3.843121314
20	3.721764394
21	3.634335266
22	3.565165979
23	3.475250976
24	3.404050157
25	3.336886896
26	3.280191844
27	3.239286258
28	3.206912709
29	3.14305516
30	3.091806269
31	3.022211593
32	2.98831319
33	2.944631096
34	2.904820305
35	2.872516533
36	2.8521569
37	2.805979301
38	2.759229212
39	2.721534293
40	2.678878726
41	2.656138262
42	2.62718904
43	2.590616929
44	2.559161988
45	2.54593484
46	2.524042942
47	2.498873878
48	2.473327254
49	2.447842124
50	2.430444717
51	2.409479631
52	2.390702518
53	2.375280818
54	2.360007254
55	2.352287942
56	2.328252344
57	2.323862544
58	2.307159496
59	2.299442683
60	2.286932392
61	2.263853506
62	2.248711609
63	2.229474487
64	2.218122557
65	2.204973867
66	2.188885043
67	2.169770673
68	2.159751218
69	2.156043342
70	2.148508639
71	2.13508276
72	2.124734936
73	2.111603448
74	2.096220874
75	2.083617092
76	2.072266951
77	2.058811392
78	2.055840481
79	2.039449513
80	2.025932939
81	2.013474221
82	1.999299484
83	1.98904578
84	1.985548212
85	1.970344115
86	1.960579817
87	1.948928683
88	1.935056287
89	1.923825368
90	1.910032402
91	1.902423425
92	1.892761427
93	1.877477465
94	1.872800711
95	1.858240946
96	1.853708539
97	1.838265506
98	1.832531895
99	1.822340038
100	1.811724673
101	1.80281042
102	1.786459075
103	1.768584674
104	1.754522936
105	1.742520405
106	1.726613169
107	1.717005451
108	1.700087583
109	1.688700584
110	1.67968662
111	1.672857363
112	1.659816634
113	1.651832947
114	1.639804109
115	1.629475925
116	1.61578626
117	1.605367588
118	1.592160182
119	1.580033275
120	1.568781881
121	1.561474061
122	1.548485072
123	1.538156887
124	1.527076744
125	1.512817692
126	1.501417082
127	1.489305868
128	1.480231856
129	1.46622416
130	1.459781499
131	1.447565552
132	1.441030206
133	1.436539471
134	1.425159055
135	1.417327391
136	1.410557474
137	1.40484531
138	1.398657814
139	1.388336005
140	1.380118732
141	1.373122975
142	1.367397774
143	1.356103905
144	1.350427866
145	1.344662671
146	1.338051922
147	1.329803131
148	1.32711979
149	1.320832746
150	1.318023892
151	1.310604578
152	1.304682567
153	1.295109313
154	1.285300835
155	1.277721098
156	1.271915562
157	1.263851948
158	1.256055652
159	1.24613757
160	1.2402846
161	1.235067229
162	1.232519712
163	1.224921474
164	1.21559035
165	1.206879351
166	1.200455565
167	1.192609332
168	1.184885596
169	1.17662787
170	1.173518799
171	1.169653857
172	1.15934274
173	1.156735363
174	1.155466827
175	1.1538343
176	1.146134847
177	1.139179204
178	1.135829537
179	1.133227757
180	1.126055047
181	1.117304742
182	1.114210095
183	1.113212928
184	1.107673596
185	1.106618427
186	1.100795661
187	1.092854194
188	1.086448913
189	1.081913415
190	1.078844702
191	1.070686359
192	1.064897422
193	1.060186733
194	1.050997662
195	1.041671583
196	1.034838522
197	1.025968672
198	1.021290804
199	1.01530654
200	1.013745249
201	1.006498486
202	1.005800382
203	1.00202694
204	0.9948760612
205	0.9916163235
206	0.9911593865
207	0.9878917542
208	0.9815769204
209	0.9772765939
210	0.9693016361
211	0.9624492277
212	0.9578249909
213	0.9532850285
214	0.9519737357
215	0.9489885163
216	0.943376906
217	0.9406520587
218	0.9393654637
219	0.9356826085
220	0.9306869751
221	0.9249306072
222	0.9217997617
223	0.918628392
224	0.9123316027
225	0.9072505735
226	0.9028325773
227	0.8950664872
228	0.8908099064
229	0.8842270749
230	0.8794736307
231	0.8778400453
232	0.8706923286
233	0.8665650271
234	0.8610915807
235	0.8559121878
236	0.8536712566
237	0.8496905794
238	0.8450127424
239	0.8401816062
240	0.8362230274
241	0.8341743873
242	0.8304863863
243	0.8249513215
244	0.8219563917
245	0.8177481441
246	0.8154801863
247	0.8119531455
248	0.8080896305
249	0.8067808196
250	0.8032921627
251	0.7978184451
252	0.7941017546
253	0.7919350607
254	0.7860653127
255	0.7827552916
256	0.7802595113
257	0.7782968891
258	0.7752836092
259	0.7698331675
260	0.7659222389
261	0.7642962612
262	0.7599552084
263	0.7559460574
264	0.7516983775
265	0.7490276899
266	0.7465733883
267	0.7424530783
268	0.7403065833
269	0.7369932726
270	0.7340941538
271	0.7291634483
272	0.7247925044
273	0.723088686
274	0.7201823776
275	0.7163104924
276	0.7124586828
277	0.7091386811
278	0.7061864615
279	0.7037946624
280	0.7022929803
281	0.6975422171
282	0.6964241021
283	0.6961341338
284	0.6949677127
285	0.6946304496
286	0.6943200609
287	0.6932811496
288	0.6917511877
289	0.6897947139
290	0.6880978187
291	0.6848443364
292	0.6838403309
293	0.6789833159
294	0.6742045244
295	0.6739418453
296	0.6702622135
297	0.6674418768
298	0.6645919014
299	0.6610064597
300	0.6594916008
301	0.6570048779
302	0.654458223
303	0.6520758395
304	0.6518664247
305	0.6501691236
306	0.6496100325
307	0.6468131754
308	0.6448111243
309	0.6411912062
310	0.6369029691
311	0.635627873
312	0.6345680164
313	0.6323958928
314	0.6306065045
315	0.6279144505
316	0.6253841936
317	0.6219454629
318	0.6172369521
319	0.6141174553
320	0.613614516
321	0.6124623452
322	0.608234305
323	0.6078505689
324	0.6074696649
325	0.6045755746
326	0.6017316363
327	0.5998642739
328	0.5977172202
329	0.5948575002
330	0.594620076
331	0.5933061754
332	0.5903041981
333	0.5863406784
334	0.5840209735
335	0.5829950515
336	0.5793888194
337	0.576810527
338	0.5739604201
339	0.5728619367
340	0.5688940275
341	0.5667200317
342	0.5645297302
343	0.5602933457
344	0.5596154379
345	0.5563570048
346	0.5533217445
347	0.5488242559
348	0.5470337968
349	0.5447573372
350	0.5426443654
351	0.5412713024
352	0.5383917886
353	0.5356924803
354	0.5325706998
355	0.5293088364
356	0.5273171656
357	0.5255576526
358	0.524427809
359	0.5217192855
360	0.5195435676
361	0.5183622721
362	0.5157193138
363	0.5119474521
364	0.5100928737
365	0.5089077627
366	0.5054962185
367	0.5053779833
368	0.5018508316
369	0.5011940213
370	0.4983890477
371	0.4953661618
372	0.4951992375
373	0.4927577484
374	0.4896729839
375	0.4887890908
376	0.4869805027
377	0.4855150188
378	0.4840490168
379	0.483910806
380	0.4807025065
381	0.4787101762
382	0.4778629929
383	0.4754016259
384	0.4730823801
385	0.4706269502
386	0.4696517008
387	0.4682439096
388	0.4680345433
389	0.4657719925
390	0.4642475774
391	0.4641013993
392	0.4616287258
393	0.4595093965
394	0.4577360011
395	0.4546808445
396	0.4526487271
397	0.451432989
398	0.4512793602
399	0.4508276017
400	0.4489127164
401	0.448805208
402	0.4470589455
403	0.4455801327
404	0.4453352828
405	0.4433852896
406	0.4404365506
407	0.4375680764
408	0.435270497
409	0.433855049
410	0.4330440998
411	0.4317726419
412	0.4297378582
413	0.4278615719
414	0.4265558203
415	0.4240683813
416	0.4227792691
417	0.4220120437
418	0.42023373
419	0.4186015259
420	0.4179256672
421	0.4164634415
422	0.4152571427
423	0.4150823214
424	0.4126661225
425	0.4109085345
426	0.4093285274
427	0.407168613
428	0.4056829404
429	0.40555583
430	0.4030518609
431	0.4014012813
432	0.3995097142
433	0.3975004092
434	0.3961159898
435	0.3946335082
436	0.3945183226
437	0.3944206244
438	0.3928681808
439	0.3910573511
440	0.3884833466
441	0.3872608097
442	0.3858895391
443	0.3839256741
444	0.3836909521
445	0.3821919726
446	0.3808994113
447	0.380810245
448	0.3795922618
449	0.3781970685
450	0.3771021454
451	0.37611781
452	0.3747390544
453	0.3734632747
454	0.3720235532
455	0.3703971866
456	0.3703060811
457	0.3698355758
458	0.3678303707
459	0.3661482529
460	0.3636923598
461	0.363148137
