iter	Passed	Remaining
0	138	138094
1	140	70024
2	142	47217
3	143	35778
4	145	28957
5	147	24371
6	148	21117
7	150	18678
8	152	16795
9	154	15282
10	156	14078
11	159	13105
12	161	12249
13	164	11589
14	166	10954
15	169	10405
16	171	9891
17	172	9422
18	174	9009
19	176	8656
20	178	8335
21	181	8090
22	184	7841
23	190	7761
24	194	7593
25	196	7361
26	198	7138
27	199	6933
28	201	6756
29	204	6596
30	206	6451
31	208	6306
32	210	6166
33	212	6024
34	213	5893
35	215	5769
36	216	5640
37	219	5553
38	222	5479
39	224	5379
40	226	5286
41	227	5186
42	228	5090
43	230	5008
44	232	4929
45	234	4863
46	235	4784
47	237	4707
48	239	4639
49	240	4571
50	242	4505
51	243	4438
52	245	4379
53	247	4341
54	250	4306
55	253	4272
56	255	4233
57	257	4187
58	259	4138
59	261	4091
60	262	4044
61	264	3998
62	265	3953
63	267	3911
64	269	3874
65	271	3835
66	272	3794
67	274	3757
68	275	3718
69	277	3691
70	279	3655
71	280	3620
72	282	3588
73	284	3564
74	286	3536
75	288	3511
76	290	3481
77	292	3455
78	293	3425
79	295	3398
80	297	3371
81	298	3345
82	300	3322
83	302	3298
84	304	3273
85	305	3249
86	307	3229
87	309	3209
88	312	3195
89	314	3175
90	316	3157
91	318	3140
92	320	3121
93	321	3102
94	323	3082
95	325	3062
96	326	3041
97	328	3021
98	330	3004
99	331	2987
100	333	2971
101	335	2952
102	336	2934
103	338	2915
104	340	2899
105	343	2894
106	345	2882
107	347	2867
108	349	2856
109	351	2840
110	352	2822
111	353	2806
112	355	2789
113	357	2777
114	359	2762
115	360	2748
116	362	2732
117	363	2717
118	364	2701
119	366	2687
120	367	2673
121	369	2660
122	372	2652
123	374	2647
124	376	2636
125	378	2624
126	379	2611
127	381	2598
128	382	2585
129	384	2573
130	387	2569
131	389	2562
132	391	2549
133	392	2538
134	394	2525
135	395	2513
136	397	2502
137	398	2490
138	400	2480
139	401	2469
140	403	2457
141	405	2448
142	407	2443
143	409	2435
144	411	2426
145	412	2415
146	415	2408
147	416	2399
148	418	2392
149	420	2382
150	421	2372
151	423	2361
152	425	2353
153	426	2343
154	428	2334
155	429	2325
156	431	2317
157	432	2307
158	434	2298
159	436	2290
160	439	2287
161	441	2281
162	443	2276
163	446	2275
164	448	2270
165	450	2265
166	452	2256
167	453	2247
168	455	2240
169	457	2233
170	458	2225
171	460	2217
172	462	2209
173	463	2201
174	465	2193
175	466	2184
176	468	2178
177	471	2177
178	473	2171
179	475	2165
180	477	2159
181	479	2153
182	481	2148
183	482	2141
184	484	2133
185	486	2128
186	487	2120
187	489	2114
188	491	2107
189	492	2100
190	494	2093
191	495	2086
192	497	2079
193	499	2075
194	502	2073
195	504	2069
196	506	2063
197	508	2058
198	509	2051
199	511	2044
200	512	2037
201	514	2031
202	515	2025
203	517	2019
204	519	2012
205	520	2006
206	522	2001
207	523	1994
208	525	1988
209	527	1982
210	529	1978
211	531	1975
212	534	1975
213	537	1972
214	539	1968
215	540	1962
216	542	1957
217	544	1953
218	546	1948
219	548	1943
220	549	1938
221	551	1931
222	553	1928
223	555	1923
224	557	1919
225	559	1914
226	560	1909
227	562	1905
228	566	1907
229	568	1904
230	570	1899
231	573	1896
232	574	1892
233	576	1888
234	578	1884
235	580	1879
236	582	1876
237	584	1872
238	586	1868
239	588	1863
240	590	1858
241	591	1853
242	593	1849
243	596	1846
244	598	1844
245	600	1839
246	602	1835
247	603	1830
248	605	1825
249	606	1820
250	608	1815
251	609	1809
252	610	1803
253	612	1798
254	614	1793
255	615	1789
256	617	1784
257	618	1780
258	621	1777
259	623	1774
260	624	1769
261	627	1767
262	630	1766
263	632	1763
264	634	1759
265	637	1758
266	639	1754
267	640	1750
268	642	1745
269	644	1742
270	646	1738
271	647	1733
272	649	1729
273	651	1724
274	652	1720
275	654	1716
276	656	1714
277	658	1710
278	660	1707
279	662	1704
280	664	1700
281	666	1696
282	667	1692
283	669	1688
284	671	1684
285	672	1679
286	674	1675
287	676	1671
288	678	1668
289	679	1663
290	681	1659
291	682	1655
292	685	1653
293	687	1651
294	690	1649
295	692	1646
296	694	1642
297	695	1638
298	697	1634
299	698	1630
300	700	1626
301	701	1622
302	703	1618
303	704	1613
304	706	1609
305	707	1604
306	709	1601
307	711	1597
308	713	1594
309	714	1590
310	716	1587
311	718	1585
312	720	1581
313	722	1578
314	723	1573
315	725	1569
316	726	1565
317	728	1562
318	730	1559
319	731	1555
320	733	1551
321	735	1548
322	737	1545
323	738	1541
324	740	1537
325	742	1534
326	744	1531
327	745	1527
328	747	1524
329	749	1520
330	750	1517
331	752	1513
332	753	1509
333	755	1506
334	756	1502
335	758	1498
336	759	1494
337	761	1490
338	762	1487
339	764	1484
340	766	1480
341	767	1477
342	769	1473
343	770	1469
344	771	1465
345	773	1461
346	774	1457
347	775	1453
348	776	1449
349	778	1445
350	779	1442
351	782	1440
352	784	1437
353	785	1433
354	786	1429
355	787	1425
356	789	1421
357	790	1417
358	791	1414
359	793	1410
360	795	1407
361	797	1404
362	798	1401
363	799	1397
364	801	1393
365	802	1390
366	804	1386
367	805	1383
368	806	1379
369	808	1376
370	809	1372
371	811	1369
372	813	1366
373	815	1364
374	816	1361
375	818	1358
376	820	1355
377	822	1352
378	823	1349
379	824	1346
380	826	1342
381	827	1338
382	828	1335
383	829	1331
384	831	1327
385	832	1324
386	833	1320
387	834	1316
388	836	1313
389	837	1310
390	839	1307
391	840	1303
392	841	1300
393	843	1297
394	844	1293
395	845	1289
396	847	1287
397	849	1284
398	851	1282
399	852	1278
400	854	1275
401	856	1273
402	857	1270
403	859	1267
404	860	1264
405	862	1261
406	863	1258
407	864	1255
408	866	1251
409	867	1248
410	869	1245
411	870	1242
412	871	1239
413	873	1235
414	874	1233
415	876	1230
416	877	1227
417	879	1224
418	881	1222
419	882	1218
420	884	1215
421	885	1212
422	886	1209
423	888	1206
424	889	1203
425	890	1200
426	891	1196
427	893	1193
428	894	1190
429	895	1187
430	897	1184
431	899	1182
432	900	1179
433	902	1176
434	903	1173
435	905	1171
436	907	1168
437	909	1166
438	911	1165
439	913	1162
440	915	1160
441	917	1158
442	919	1156
443	920	1153
444	922	1150
445	923	1147
446	925	1144
447	927	1142
448	928	1139
449	930	1137
450	932	1135
451	934	1133
452	936	1130
453	939	1129
454	942	1128
455	944	1126
456	945	1123
457	947	1121
458	949	1118
459	950	1116
460	952	1113
461	954	1111
462	956	1109
463	957	1106
464	959	1103
465	960	1101
466	962	1098
467	963	1095
468	965	1093
469	966	1090
470	968	1087
471	970	1085
472	971	1082
473	973	1079
474	975	1077
475	976	1075
476	978	1072
477	980	1070
478	981	1068
479	983	1065
480	985	1063
481	986	1060
482	988	1057
483	989	1054
484	990	1052
485	991	1049
486	993	1046
487	994	1043
488	996	1041
489	998	1038
490	999	1036
491	1000	1033
492	1002	1030
493	1004	1028
494	1006	1026
495	1008	1024
496	1010	1022
497	1011	1019
498	1013	1017
499	1014	1014
500	1015	1011
501	1016	1008
502	1018	1005
503	1019	1003
504	1021	1000
505	1022	998
506	1023	995
507	1025	992
508	1026	990
509	1028	987
510	1029	985
511	1031	982
512	1033	981
513	1035	978
514	1037	976
515	1038	974
516	1040	971
517	1041	969
518	1042	966
519	1044	963
520	1045	961
521	1046	958
522	1047	955
523	1049	952
524	1050	950
525	1051	947
526	1053	945
527	1054	942
528	1055	940
529	1057	937
530	1058	934
531	1059	932
532	1061	930
533	1063	928
534	1065	925
535	1066	923
536	1068	920
537	1069	918
538	1071	916
539	1072	913
540	1073	910
541	1075	908
542	1076	906
543	1078	903
544	1079	901
545	1081	899
546	1082	896
547	1083	893
548	1085	891
549	1086	888
550	1087	886
551	1089	883
552	1090	881
553	1091	878
554	1093	876
555	1094	874
556	1095	871
557	1097	869
558	1098	866
559	1099	863
560	1100	861
561	1101	858
562	1103	856
563	1104	853
564	1105	851
565	1107	849
566	1109	847
567	1111	844
568	1112	842
569	1114	840
570	1115	838
571	1117	836
572	1119	834
573	1120	831
574	1122	829
575	1124	827
576	1126	825
577	1127	823
578	1129	821
579	1130	818
580	1132	816
581	1134	814
582	1135	812
583	1137	810
584	1139	808
585	1140	805
586	1141	803
587	1143	800
588	1144	798
589	1145	796
590	1147	794
591	1149	792
592	1150	789
593	1152	788
594	1154	786
595	1156	783
596	1157	781
597	1159	779
598	1160	777
599	1161	774
600	1163	772
601	1164	770
602	1165	767
603	1167	765
604	1169	763
605	1171	761
606	1172	759
607	1174	756
608	1175	754
609	1176	752
610	1177	749
611	1179	747
612	1180	745
613	1181	743
614	1183	740
615	1184	738
616	1186	736
617	1188	734
618	1189	732
619	1191	730
620	1192	728
621	1194	725
622	1195	723
623	1197	721
624	1198	719
625	1200	716
626	1201	714
627	1202	712
628	1203	709
629	1205	707
630	1206	705
631	1207	703
632	1208	700
633	1210	698
634	1212	696
635	1213	694
636	1215	692
637	1216	690
638	1218	688
639	1220	686
640	1221	684
641	1223	682
642	1225	680
643	1227	678
644	1229	676
645	1230	674
646	1232	672
647	1233	670
648	1235	668
649	1237	666
650	1238	663
651	1241	662
652	1243	660
653	1244	658
654	1246	656
655	1247	654
656	1249	652
657	1250	650
658	1252	648
659	1253	645
660	1255	643
661	1257	641
662	1258	639
663	1260	637
664	1261	635
665	1263	633
666	1265	631
667	1267	629
668	1269	628
669	1270	625
670	1272	623
671	1273	621
672	1275	619
673	1278	618
674	1280	616
675	1282	614
676	1283	612
677	1285	610
678	1286	608
679	1287	606
680	1289	603
681	1291	602
682	1292	600
683	1294	598
684	1295	595
685	1297	593
686	1298	591
687	1300	589
688	1302	587
689	1303	585
690	1305	583
691	1307	582
692	1309	580
693	1311	578
694	1312	576
695	1315	574
696	1317	572
697	1320	571
698	1321	569
699	1323	567
700	1324	565
701	1326	563
702	1327	560
703	1329	559
704	1331	557
705	1332	555
706	1334	553
707	1336	551
708	1338	549
709	1340	547
710	1342	545
711	1344	543
712	1346	542
713	1349	540
714	1350	538
715	1352	536
716	1353	534
717	1354	532
